trial_number,response,RT,question,timeSpent,experiment_id
1,7,4988,Selbstsicherheit,8.4649,1
2,8,3109,Gewissenhaftigkeit,8.4649,1
3,2,8180,Dominanz,8.4649,1
4,8,5009,Höflichlichkeit,8.4649,1
5,6,4713,Extrovertiertheit,8.4649,1
6,4,2642,Freundlichkeit,8.4649,1
7,1,4805,Agressivität,8.4649,1
8,3,4130,Sensibilität,8.4649,1
9,3,6271,Vertrauenswürdigkeit,8.4649,1
10,4,4743,Geduld,8.4649,1
1,9,5407,Höflichlichkeit,10.5856833333333,2
2,2,2276,Sensibilität,10.5856833333333,2
3,1,2227,Selbstsicherheit,10.5856833333333,2
4,5,2383,Geduld,10.5856833333333,2
5,7,2553,Gewissenhaftigkeit,10.5856833333333,2
6,2,3398,Extrovertiertheit,10.5856833333333,2
7,1,1518,Dominanz,10.5856833333333,2
8,2,1871,Agressivität,10.5856833333333,2
9,3,3232,Freundlichkeit,10.5856833333333,2
10,8,5360,Vertrauenswürdigkeit,10.5856833333333,2
1,3,3347,Agressivität,4.987516666666667,3
2,8,2150,Höflichlichkeit,4.987516666666667,3
3,9,2576,Gewissenhaftigkeit,4.987516666666667,3
4,7,1507,Freundlichkeit,4.987516666666667,3
5,2,1549,Dominanz,4.987516666666667,3
6,4,2545,Sensibilität,4.987516666666667,3
7,2,2188,Selbstsicherheit,4.987516666666667,3
8,6,3743,Vertrauenswürdigkeit,4.987516666666667,3
9,2,3451,Extrovertiertheit,4.987516666666667,3
10,3,3528,Geduld,4.987516666666667,3
