trial_name,trial_number,response,RT,optionLeft,optionRight,QUD,question,picture,pictureFormat,color,category,startDate,startTime,age,gender,languages,comments,endTime,timeSpent,experiment_id
rate_personality,1,9,5407,Trifft gleichermaßen auf Menschen und Tiere zu,Trifft nur auf Menschen zu,Wie bewerten sie das folgende Merkmal?,Höflichlichkeit,NA,NA,NA,NA,Sat Jun 15 2019 11:20:35 GMT+0200 (Central European Summer Time),1560590435607,23,weiblich,Französisch,,1560591070748,10.5856833333333,INSERT_A_NUMBER
rate_personality,2,2,2276,Trifft gleichermaßen auf Menschen und Tiere zu,Trifft nur auf Menschen zu,Wie bewerten sie das folgende Merkmal?,Sensibilität,NA,NA,NA,NA,Sat Jun 15 2019 11:20:35 GMT+0200 (Central European Summer Time),1560590435607,23,weiblich,Französisch,,1560591070748,10.5856833333333,INSERT_A_NUMBER
rate_personality,3,1,2227,Trifft gleichermaßen auf Menschen und Tiere zu,Trifft nur auf Menschen zu,Wie bewerten sie das folgende Merkmal?,Selbstsicherheit,NA,NA,NA,NA,Sat Jun 15 2019 11:20:35 GMT+0200 (Central European Summer Time),1560590435607,23,weiblich,Französisch,,1560591070748,10.5856833333333,INSERT_A_NUMBER
rate_personality,4,5,2383,Trifft gleichermaßen auf Menschen und Tiere zu,Trifft nur auf Menschen zu,Wie bewerten sie das folgende Merkmal?,Geduld,NA,NA,NA,NA,Sat Jun 15 2019 11:20:35 GMT+0200 (Central European Summer Time),1560590435607,23,weiblich,Französisch,,1560591070748,10.5856833333333,INSERT_A_NUMBER
rate_personality,5,7,2553,Trifft gleichermaßen auf Menschen und Tiere zu,Trifft nur auf Menschen zu,Wie bewerten sie das folgende Merkmal?,Gewissenhaftigkeit,NA,NA,NA,NA,Sat Jun 15 2019 11:20:35 GMT+0200 (Central European Summer Time),1560590435607,23,weiblich,Französisch,,1560591070748,10.5856833333333,INSERT_A_NUMBER
rate_personality,6,2,3398,Trifft gleichermaßen auf Menschen und Tiere zu,Trifft nur auf Menschen zu,Wie bewerten sie das folgende Merkmal?,Extrovertiertheit,NA,NA,NA,NA,Sat Jun 15 2019 11:20:35 GMT+0200 (Central European Summer Time),1560590435607,23,weiblich,Französisch,,1560591070748,10.5856833333333,INSERT_A_NUMBER
rate_personality,7,1,1518,Trifft gleichermaßen auf Menschen und Tiere zu,Trifft nur auf Menschen zu,Wie bewerten sie das folgende Merkmal?,Dominanz,NA,NA,NA,NA,Sat Jun 15 2019 11:20:35 GMT+0200 (Central European Summer Time),1560590435607,23,weiblich,Französisch,,1560591070748,10.5856833333333,INSERT_A_NUMBER
rate_personality,8,2,1871,Trifft gleichermaßen auf Menschen und Tiere zu,Trifft nur auf Menschen zu,Wie bewerten sie das folgende Merkmal?,Agressivität,NA,NA,NA,NA,Sat Jun 15 2019 11:20:35 GMT+0200 (Central European Summer Time),1560590435607,23,weiblich,Französisch,,1560591070748,10.5856833333333,INSERT_A_NUMBER
rate_personality,9,3,3232,Trifft gleichermaßen auf Menschen und Tiere zu,Trifft nur auf Menschen zu,Wie bewerten sie das folgende Merkmal?,Freundlichkeit,NA,NA,NA,NA,Sat Jun 15 2019 11:20:35 GMT+0200 (Central European Summer Time),1560590435607,23,weiblich,Französisch,,1560591070748,10.5856833333333,INSERT_A_NUMBER
rate_personality,10,8,5360,Trifft gleichermaßen auf Menschen und Tiere zu,Trifft nur auf Menschen zu,Wie bewerten sie das folgende Merkmal?,Vertrauenswürdigkeit,NA,NA,NA,NA,Sat Jun 15 2019 11:20:35 GMT+0200 (Central European Summer Time),1560590435607,23,weiblich,Französisch,,1560591070748,10.5856833333333,INSERT_A_NUMBER
