trial_number,response,RT,question,timeSpent,submission_id
1,3,8100,Höflichlichkeit,10.548166666666667,785
2,4,5513,Agressivität,10.548166666666667,785
3,4,2736,Sensibilität,10.548166666666667,785
4,7,3225,Geduld,10.548166666666667,785
5,8,3630,Freundlichkeit,10.548166666666667,785
6,4,2187,Extrovertiertheit,10.548166666666667,785
7,4,2438,Dominanz,10.548166666666667,785
8,3,4006,Selbstsicherheit,10.548166666666667,785
9,7,3607,Gewissenhaftigkeit,10.548166666666667,785
10,4,9937,Vertrauenswürdigkeit,10.548166666666667,785
1,4,35819,Geduld,13.89085,790
2,6,23446,Vertrauenswürdigkeit,13.89085,790
3,1,6349,Selbstsicherheit,13.89085,790
4,1,3582,Dominanz,13.89085,790
5,1,4350,Agressivität,13.89085,790
6,9,6818,Extrovertiertheit,13.89085,790
7,9,3030,Gewissenhaftigkeit,13.89085,790
8,1,5945,Sensibilität,13.89085,790
9,9,3853,Höflichlichkeit,13.89085,790
10,3,5229,Freundlichkeit,13.89085,790
1,3,11033,Dominanz,11.232316666666666,793
2,7,4440,Geduld,11.232316666666666,793
3,5,6211,Höflichlichkeit,11.232316666666666,793
4,3,5209,Sensibilität,11.232316666666666,793
5,8,4376,Gewissenhaftigkeit,11.232316666666666,793
6,4,5057,Agressivität,11.232316666666666,793
7,7,6514,Freundlichkeit,11.232316666666666,793
8,9,2815,Vertrauenswürdigkeit,11.232316666666666,793
9,7,6893,Selbstsicherheit,11.232316666666666,793
10,1,6354,Extrovertiertheit,11.232316666666666,793
1,3,13688,Sensibilität,16.3161,798
2,1,4978,Agressivität,16.3161,798
3,1,10476,Geduld,16.3161,798
4,1,6391,Dominanz,16.3161,798
5,2,57186,Höflichlichkeit,16.3161,798
6,2,18138,Freundlichkeit,16.3161,798
7,2,5262,Extrovertiertheit,16.3161,798
8,2,7938,Vertrauenswürdigkeit,16.3161,798
9,2,2907,Selbstsicherheit,16.3161,798
10,2,10641,Gewissenhaftigkeit,16.3161,798
1,1,5230,Dominanz,9.494483333333333,805
