ResponseID,Cond,Stim->,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,Stim->,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,Race,Age,Gender
ResponseID,Cond,Orientation,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,Orientation,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,Please indicate your race:,"What is your age? (To the nearest year, please enter a whole number / below).",Please indicate your gender:
R_cPbuhYRebsrAeyh,Trust,1,3,4,4,4,5,6,4,5,5,4,6,3,5,5,3,4,6,4,6,2,5,3,4,3,5,3,5,6,6,4,4,5,5,4,5,5,6,3,7,4,5,5,2,4,6,3,6,4,2,2,3,3,6,4,4,6,4,5,7,3,4,3,4,6,3,5,3,2,4,5,4,2,1,2,6,3,5,4,7,2,5,5,3,5,4,2,4,5,4,5,3,4,2,3,6,3,3,3,5,2,5,4,2,5,6,4,4,4,3,4,3,4,5,3,5,5,6,5,4,5,4,3,3,2,4,4,3,4,2,5,6,1,5,6,6,2,4,5,5,5,5,3,4,5,3,white,49,female
R_cNsI300HtUnhoSV,Trust,1,3,5,4,3,5,4,4,5,4,3,3,5,5,5,6,5,4,3,2,4,6,4,4,5,4,4,4,4,5,2,3,4,4,4,5,4,4,3,3,2,3,4,5,4,3,3,5,3,4,4,5,3,3,5,5,4,4,3,3,4,4,3,4,3,4,3,4,4,3,5,4,2,1,4,4,3,4,5,3,3,3,2,3,3,4,5,5,4,4,3,4,4,4,4,4,3,3,4,5,3,3,3,4,2,3,4,3,4,4,4,3,4,3,3,4,5,3,5,5,4,3,3,4,4,5,3,3,5,3,3,5,4,2,5,4,5,3,3,2,2,3,3,4,4,3,asian,29,male
R_6JaAAIxy4mSitV3,Trust,1,4,5,4,4,3,4,4,4,4,5,4,5,5,5,5,4,4,4,5,5,5,5,4,5,4,5,5,5,4,4,5,4,4,5,4,5,4,3,4,4,4,5,4,4,3,5,6,4,4,4,4,5,4,4,4,4,5,4,4,4,5,5,5,6,4,4,3,3,5,4,4,3,1,5,5,4,4,5,5,4,5,4,4,4,5,5,5,5,5,4,5,4,5,5,5,4,5,5,4,5,5,5,4,4,5,4,5,4,5,4,5,3,5,3,4,3,4,4,5,4,3,3,3,5,3,3,3,5,3,4,5,4,4,6,5,5,5,5,5,4,4,5,4,5,4,Asian,43,female
R_9XHjtdsHn3JX0ix,Trust,1,1,3,1,1,2,2,3,2,2,2,2,3,2,2,2,1,1,2,1,3,2,3,3,3,2,2,1,3,3,2,3,1,2,2,2,2,3,2,4,4,3,3,2,2,3,4,4,2,4,2,2,1,3,2,2,4,4,2,1,2,4,5,1,2,2,2,1,1,2,1,1,2,1,2,2,2,2,2,3,2,3,2,1,1,3,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,4,3,3,4,4,4,4,4,4,4,3,2,1,3,2,1,3,3,3,1,2,2,4,2,3,2,1,2,2,1,2,4,4,white,26,female
R_0PbtUWktOmu0YpT,Trust,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,white,44,male
R_73zxMIn24J6ER01,Trust,1,4,7,4,4,6,5,5,6,4,7,6,4,7,5,7,5,4,5,5,7,7,6,7,6,6,6,6,6,6,6,6,5,6,6,7,6,4,6,5,7,5,4,3,6,4,5,4,4,4,4,7,6,6,4,6,6,6,7,5,5,7,6,6,7,6,4,3,6,5,4,6,6,1,6,6,6,7,6,5,6,5,5,6,6,5,5,6,7,5,5,4,5,5,6,5,6,6,6,6,6,6,5,5,5,5,5,6,6,5,6,3,6,6,3,5,4,4,5,5,5,5,6,4,5,4,4,6,4,5,5,5,3,6,6,5,4,6,6,5,3,4,4,5,5,6,white,54,female
R_8HvGxWajSE0Hpyd,Trust,1,5,5,5,5,5,5,5,6,5,5,5,6,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,5,5,5,5,5,5,5,4,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,3,3,3,4,3,5,3,3,white,30,male
R_4PeUHdcyab7Y2nb,Trust,1,2,4,2,3,4,5,2,1,2,4,1,4,4,5,6,5,1,2,2,5,3,3,2,5,3,6,2,3,4,1,3,2,4,4,2,1,3,1,2,3,3,5,1,5,3,2,4,3,2,1,1,3,3,2,2,2,5,2,1,6,5,3,1,5,1,3,2,3,3,1,2,1,1,4,3,3,4,4,4,2,3,2,4,2,3,4,3,3,3,1,2,2,4,2,2,3,4,2,3,3,3,4,2,2,5,3,4,6,3,4,3,3,2,4,2,1,3,5,3,3,2,4,1,1,3,2,1,4,3,2,2,3,4,5,2,2,3,3,2,4,5,1,2,2,2,White,59,Female
R_3NLlwS43i4zIMy9,Trust,1,1,4,2,4,5,3,3,3,4,2,3,5,5,2,3,5,4,3,1,3,2,1,1,3,3,4,2,3,3,3,2,2,4,4,2,2,4,2,5,7,4,4,4,3,4,5,3,4,5,3,5,3,2,2,3,4,6,3,2,3,5,5,1,5,2,2,2,2,2,3,2,3,1,3,2,2,3,3,5,2,3,2,2,3,2,3,3,3,2,4,3,2,6,2,3,2,3,3,4,2,2,4,2,2,2,4,5,2,3,5,2,6,4,5,5,5,3,3,4,4,4,5,2,3,3,3,4,2,2,4,4,3,2,5,7,3,3,3,4,6,2,3,7,6,3,white,24,male
