Subject,strong,intelligent,trustworthy,dominant,aggressive,creative,empathetic,thoughtful,arrogant,patient
1,3,6,7,5,5,4,7,7,7,4
2,5,8,9,5,5,8,9,8,8,8
3,1,3,6,1,2,6,5,4,4,5
4,1,3,7,3,1,4,3,3,5,7
5,1,2,6,1,1,6,2,3,6,3
6,1,6,5,1,1,4,6,5,4,6
7,2,6,6,1,1,5,8,7,8,6
8,5,5,7,3,5,7,4,6,4,4
9,4,5,6,3,3,6,6,7,7,3
10,3,7,4,4,3,6,7,8,8,6
11,5,8,6,5,5,8,7,8,6,7
12,5,9,9,9,5,9,9,9,9,8
13,1,5,6,1,4,9,9,9,9,8
14,5,5,5,5,5,5,5,5,5,5
15,5,5,5,5,5,5,5,5,5,5
16,6,6,7,4,4,6,7,7,4,6
17,5,7,5,5,5,8,8,7,8,6
18,1,2,8,1,1,4,2,8,9,6
19,1,2,3,2,1,4,4,4,9,5
20,5,7,5,7,7,6,5,5,7,5
21,1,8,7,3,2,8,8,7,7,8
22,2,4,9,3,2,8,9,9,9,9
23,5,5,7,5,5,7,9,7,9,8
24,2,7,6,7,4,7,7,7,8,8
25,6,6,6,6,7,6,7,6,7,6
26,2,6,6,2,2,5,6,8,8,8
27,2,1,7,1,1,9,7,8,8,7
28,3,3,3,3,3,3,3,3,3,4
29,5,4,6,4,6,4,5,5,6,5
30,5,5,5,7,5,8,8,8,6,6
31,1,1,1,1,1,4,1,5,1,1
32,1,1,7,3,1,7,9,9,8,5
33,1,4,8,1,1,2,3,2,9,3
34,3,3,6,1,4,8,4,4,3,4
35,5,8,6,5,5,8,8,7,6,6
36,5,5,6,6,5,5,5,4,6,5
