ResponseID,Cond,Stim->,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,Stim->,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,Race,Age,Gender
ResponseID,Cond,Orientation,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,Orientation,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,Please indicate your race:,"What is your age? (To the nearest year, please enter a whole number / below).",Please indicate your gender:
R_22nRYEujlWT9Pmo,humanlike,1,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,5,White,25,Male
R_02u0SZreDMQAogN,humanlike,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,5,7,6,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,6,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,white,38,male
R_OjKFpUJOTnZinZf,humanlike,1,5,6,6,6,6,6,4,3,5,6,6,5,4,6,6,6,6,5,4,6,5,5,4,6,6,6,6,3,5,6,5,4,5,5,4,6,3,4,5,6,4,3,3,5,6,6,4,5,5,4,6,5,5,4,4,4,4,4,5,6,5,5,5,3,4,3,6,4,3,4,6,4,1,6,4,6,6,5,6,4,6,5,5,6,6,4,5,6,6,5,6,5,6,5,6,5,6,6,6,6,6,5,6,3,6,6,6,5,6,5,5,4,5,4,4,4,3,4,6,5,4,5,6,6,4,4,6,6,5,5,6,6,6,6,6,5,6,6,6,6,4,6,4,6,6,caucasian,34,male
R_3dWjZHqZaZfeOzN,humanlike,1,7,7,7,7,6,7,7,7,7,7,7,7,6,6,6,7,6,7,7,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,5,7,7,6,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,6,7,7,7,7,7,7,6,7,chinese,22,male
R_3n1wwlQnGMAF7Jw,humanlike,1,4,4,5,3,1,7,4,7,4,7,5,2,7,7,3,2,7,5,3,4,7,7,3,5,5,1,1,5,4,7,2,5,5,5,5,4,2,7,5,1,1,5,2,4,1,1,7,1,7,1,2,7,2,7,7,5,7,5,1,7,2,4,5,7,7,2,1,5,7,7,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3,5,2,1,7,4,7,7,3,5,4,4,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,7,5,1,2,4,4,7,3,5,7,5,5,1,4,5,5,white,31,male
R_1Ks4Pg4PDLg1JXe,humanlike,1,5,5,5,5,4,6,4,4,4,4,4,5,6,5,5,5,4,6,3,6,5,4,6,5,6,6,5,6,6,4,5,5,5,6,3,5,3,2,6,5,6,6,5,4,6,6,6,5,5,4,5,5,6,6,5,5,5,4,4,5,6,6,5,6,4,4,4,5,5,3,5,5,1,6,5,4,5,5,6,5,4,2,5,5,5,5,6,5,6,4,5,5,6,5,6,6,6,6,6,6,4,6,5,5,4,6,6,6,6,6,4,5,6,6,5,4,5,5,5,5,5,5,5,4,5,5,6,5,5,5,6,5,2,6,6,6,6,5,6,5,5,5,5,5,5,white,27,male
R_1MWJPYZIo6HGS90,humanlike,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,white,42,male
R_8emOyv7ofyhleG5,humanlike,1,2,2,1,2,2,1,4,2,2,1,2,2,2,1,2,3,2,2,4,4,3,1,1,5,1,1,5,1,4,1,4,1,3,4,2,3,1,4,4,4,3,3,3,2,2,2,2,1,2,2,2,3,3,2,2,1,4,4,7,2,7,7,3,4,1,3,2,5,7,4,1,3,1,1,2,3,4,2,3,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,3,2,2,2,2,1,2,1,2,4,1,1,2,2,2,3,3,2,2,2,2,2,3,2,2,2,4,3,4,3,4,4,4,2,3,1,2,2,3,3,3,3,1,4,3,3,2,2,2,1,2,Black,31,Female
R_3M5TuBiNvJHPqky,humanlike,1,7,7,7,7,7,7,7,6,7,7,6,7,7,5,7,7,7,7,7,7,4,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,5,7,7,7,7,6,7,5,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,White,42,Female
R_1FFcrtHNRQSrS7a,humanlike,1,6,7,5,7,6,7,7,4,6,6,6,7,6,6,6,7,6,7,5,6,3,6,2,4,4,4,6,4,5,4,4,4,5,7,3,6,5,6,6,7,4,7,6,6,7,6,4,7,6,5,6,5,7,6,5,2,4,6,3,6,7,7,4,6,6,3,1,4,5,5,3,3,1,5,4,5,6,6,6,4,6,3,4,5,5,4,3,4,4,5,4,6,5,6,7,7,7,6,6,7,6,7,6,5,7,6,7,6,6,4,3,3,2,2,1,1,1,1,2,1,3,3,1,1,2,2,3,7,7,6,6,6,7,7,7,6,7,2,5,6,5,6,4,7,6,White,33,Male
R_3KwKHyaOaSOYLtm,humanlike,1,6,7,7,5,7,7,6,6,7,7,6,6,7,7,7,6,6,7,7,6,5,5,4,6,7,7,7,4,4,6,5,4,6,6,6,6,7,7,7,7,5,7,7,5,7,7,7,6,6,7,7,7,7,6,4,5,4,6,5,5,6,7,6,6,7,5,5,6,7,6,5,7,1,7,6,6,7,7,7,7,6,3,5,5,5,6,5,5,6,6,6,6,7,5,7,6,7,7,7,7,7,7,7,5,7,7,6,7,7,5,6,6,7,5,6,5,5,5,6,6,7,6,6,4,5,5,6,7,7,7,5,7,6,7,7,7,7,7,7,7,7,7,7,7,7,caucasian,40,female
R_BEO10z0BcnJ2u65,humanlike,1,7,7,7,7,7,7,6,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7,6,7,6,7,7,7,7,6,7,7,6,7,7,6,7,7,6,7,7,7,6,7,6,7,6,7,7,7,6,7,6,6,6,7,7,6,7,6,6,6,7,7,7,6,7,1,7,7,6,7,7,7,6,6,6,6,6,6,7,7,7,7,7,6,7,7,7,7,6,7,7,7,7,7,7,7,6,7,7,7,6,7,7,6,7,7,7,7,7,6,7,7,7,7,7,6,6,7,6,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,White,40,Female
R_VX7IZ3KSaCexJct,humanlike,1,2,4,5,6,6,4,3,2,5,5,3,5,3,4,4,5,5,4,6,4,3,3,2,3,4,3,5,2,4,6,2,4,6,2,2,5,3,3,3,6,4,6,4,3,6,2,4,4,5,4,6,4,5,4,2,2,4,6,4,3,6,6,6,6,2,2,2,5,3,4,3,3,1,3,2,3,3,5,6,2,4,2,3,2,5,5,2,5,2,2,2,3,2,2,5,2,5,2,6,5,5,5,2,2,4,3,5,5,5,2,2,2,2,5,5,2,3,2,6,4,6,5,2,4,3,4,4,4,2,4,2,4,6,3,4,1,3,2,5,3,2,2,6,3,3,white,41,male
R_4JBhZw9XL0NCrMB,humanlike,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,White,63,male
R_31AYB8fCiIqg7CB,humanlike,1,4,5,5,5,6,6,5,5,4,3,5,5,5,4,5,4,5,5,5,5,5,6,4,5,6,6,7,4,4,4,7,5,7,5,4,6,4,4,6,6,3,4,3,3,4,4,4,4,5,3,4,4,4,5,7,4,5,4,3,4,7,6,6,6,4,5,7,4,3,3,4,5,1,6,6,5,6,6,6,4,5,4,5,5,6,6,4,4,4,4,4,3,5,4,5,4,4,4,5,6,3,4,4,3,6,5,5,5,6,4,4,3,4,3,4,4,4,4,5,3,3,4,2,4,4,4,4,5,3,5,3,4,4,5,5,5,4,3,5,3,3,3,4,4,4,white,23,male
R_2VjPUrf41Ej2Zhr,humanlike,1,7,7,7,5,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,3,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,4,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,4,7,7,7,7,7,7,6,7,5,7,6,7,7,5,7,7,7,7,6,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,white,32,male
